epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.618,2.0443,3.37859,1.48945,0.51569,0.22305,0.19966,0.09358,1.92626,2.49457,1.40816,0.000657534,0.000657534,0.000657534
2,537.155,1.69217,2.13516,1.2357,0.58859,0.21933,0.23877,0.13379,1.53508,1.6581,1.28007,0.0012805,0.0012805,0.0012805
3,782.255,1.58967,1.86845,1.18934,0.66668,0.41639,0.44251,0.24202,1.45588,1.61168,1.19169,0.00185947,0.00185947,0.00185947
4,992.529,1.51075,1.61528,1.16306,0.7976,0.61528,0.71113,0.3934,1.57596,1.46282,1.28939,0.001802,0.001802,0.001802
5,1197.31,1.4889,1.52608,1.17035,0.84112,0.65799,0.74977,0.4732,1.49207,1.38712,1.29329,0.001736,0.001736,0.001736
6,1424.35,1.42557,1.38037,1.13377,0.66921,0.33086,0.34022,0.18225,1.53181,2.06734,1.32542,0.00167,0.00167,0.00167
7,1612.4,1.41921,1.27581,1.14349,0.90952,0.80669,0.87607,0.51817,1.4227,1.1035,1.2672,0.001604,0.001604,0.001604
8,1790.57,1.40104,1.2345,1.12063,0.90296,0.79557,0.87404,0.53501,1.37495,1.08362,1.2149,0.001538,0.001538,0.001538
9,1965.97,1.38236,1.20289,1.12423,0.94582,0.76952,0.88464,0.55248,1.35543,0.99649,1.22719,0.001472,0.001472,0.001472
10,2129.14,1.31692,1.10915,1.09194,0.82659,0.73606,0.83566,0.50846,1.48787,1.07927,1.28811,0.001406,0.001406,0.001406
11,2322.55,1.31884,1.1291,1.10543,0.89608,0.75093,0.82968,0.53671,1.31367,1.28079,1.22412,0.00134,0.00134,0.00134
12,2508.39,1.29775,1.04382,1.08946,0.88639,0.8121,0.86524,0.53388,1.36189,0.98026,1.22526,0.001274,0.001274,0.001274
13,2694.99,1.27852,1.01575,1.07585,0.93336,0.72899,0.85398,0.54925,1.34906,1.00662,1.2138,0.001208,0.001208,0.001208
14,2871.01,1.25703,0.96848,1.06212,0.93868,0.81784,0.9029,0.59168,1.32374,0.91846,1.19718,0.001142,0.001142,0.001142
15,3039.77,1.25672,0.9856,1.06013,0.91329,0.86989,0.92064,0.59532,1.33243,0.82499,1.18814,0.001076,0.001076,0.001076
16,3209.79,1.23422,0.92712,1.06183,0.95592,0.81413,0.90263,0.60405,1.30063,0.86528,1.19703,0.00101,0.00101,0.00101
17,3386.96,1.20078,0.86922,1.04215,0.91252,0.85312,0.91919,0.58757,1.27844,0.82224,1.17529,0.000944,0.000944,0.000944
18,3551.1,1.19974,0.85827,1.03043,0.94278,0.85752,0.92919,0.59815,1.27853,0.80277,1.17372,0.000878,0.000878,0.000878
19,3727.39,1.17952,0.84502,1.03288,0.93431,0.84605,0.90828,0.60387,1.24208,0.83093,1.1736,0.000812,0.000812,0.000812
20,3908.99,1.15759,0.81665,1.01722,0.94359,0.87053,0.93096,0.60388,1.29397,0.77553,1.18554,0.000746,0.000746,0.000746
21,4103.27,1.19507,0.80718,1.07934,0.91115,0.87686,0.92664,0.61461,1.25548,0.80083,1.18079,0.00068,0.00068,0.00068
22,4281.47,1.1123,0.74974,1.042,0.95322,0.84758,0.92747,0.63101,1.21763,0.76704,1.12762,0.000614,0.000614,0.000614
23,4442.38,1.10088,0.70835,1.03254,0.95553,0.87862,0.95482,0.6517,1.18335,0.68082,1.10116,0.000548,0.000548,0.000548
24,4601.6,1.10619,0.68981,1.03426,0.95623,0.89346,0.95439,0.65188,1.17664,0.64527,1.10316,0.000482,0.000482,0.000482
25,4746.45,1.06547,0.66156,1.01013,0.96279,0.87732,0.94557,0.63398,1.23765,0.69611,1.14126,0.000416,0.000416,0.000416
26,4906.04,1.05198,0.64413,1.01064,0.94694,0.88848,0.9516,0.65983,1.16838,0.65212,1.10759,0.00035,0.00035,0.00035
27,5050.25,1.02492,0.61868,0.98595,0.96582,0.86989,0.95769,0.66017,1.14062,0.64162,1.08906,0.000284,0.000284,0.000284
28,5200.86,1.00752,0.61543,0.9832,0.97557,0.90706,0.95936,0.64881,1.18395,0.64192,1.1048,0.000218,0.000218,0.000218
29,5349.68,0.99142,0.59226,0.9744,0.96089,0.91331,0.95566,0.65772,1.18923,0.63179,1.11356,0.000152,0.000152,0.000152
30,5496.98,0.9951,0.5728,0.98358,0.9648,0.91078,0.95886,0.66656,1.1586,0.62019,1.09883,8.6e-05,8.6e-05,8.6e-05
