epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4681,1.4077,5.64777,1.50109,0.00148,0.66667,0.00281,0.00164,1.19733,6.98856,1.23818,8e-05,8e-05,8e-05
2,60.1332,1.65063,6.75411,1.58985,0.00204,0.91667,0.04628,0.0315,1.38806,6.86752,1.18996,0.000178218,0.000178218,0.000178218
3,69.0785,1.28645,5.03353,1.34499,0.00204,0.91667,0.1788,0.07799,1.19386,6.55054,1.14522,0.000274456,0.000274456,0.000274456
4,78.4347,1.2679,5.10199,1.29184,0.00204,0.91667,0.10067,0.05893,1.2189,6.82472,1.1519,0.000368714,0.000368714,0.000368714
5,88.6886,1.34103,4.88865,1.26756,0.00204,0.91667,0.04978,0.01923,1.65369,7.84835,1.33728,0.000460992,0.000460992,0.000460992
6,98.3057,1.33351,5.13779,1.22411,0.00204,0.91667,0.03514,0.01813,1.89849,9.0887,1.50134,0.00055129,0.00055129,0.00055129
7,110.749,1.32144,4.52218,1.21159,0.64952,0.15809,0.21665,0.14275,1.40257,7.36841,1.2729,0.000639608,0.000639608,0.000639608
8,119.671,1.29398,4.30002,1.18739,0.00263,0.83333,0.16552,0.08892,1.57526,7.63147,1.44811,0.000725946,0.000725946,0.000725946
9,129.25,1.42197,4.02087,1.29283,0.00167,0.75,0.01224,0.00524,1.96155,8.8133,2.28688,0.000810304,0.000810304,0.000810304
10,139.504,1.49012,4.53854,1.37963,0.00185,0.83333,0.00706,0.00263,2.08441,9.32026,1.98093,0.000892682,0.000892682,0.000892682
11,148.335,1.49852,3.97471,1.35335,0.0013,0.58333,0.00203,0.001,2.60034,10.0204,2.70569,0.00097308,0.00097308,0.00097308
12,157.921,1.6096,4.3548,1.45211,0.00148,0.66667,0.01887,0.00577,2.32205,9.35218,2.30852,0.0010515,0.0010515,0.0010515
13,167.877,1.35509,4.56366,1.27797,0.00148,0.66667,0.07317,0.03768,2.06946,8.61562,1.97014,0.00112794,0.00112794,0.00112794
14,177.802,1.43001,4.13648,1.32198,0.04077,0.25,0.0388,0.01845,1.803,8.51505,1.76159,0.00120239,0.00120239,0.00120239
15,187.465,1.3573,3.71287,1.25353,0.2685,0.16667,0.18817,0.12413,1.82546,8.04676,1.87549,0.00127487,0.00127487,0.00127487
16,196.359,1.34669,3.48755,1.26631,0.22525,0.25,0.18127,0.08807,2.03714,8.255,2.18143,0.00134537,0.00134537,0.00134537
17,205.758,1.4503,3.35244,1.29306,0.09397,0.25,0.13414,0.05107,2.39461,8.64392,2.62858,0.00141389,0.00141389,0.00141389
